136
['http://alumni.ics.uci.edu', 5]
['http://archive.ics.uci.edu', 5]
['http://asterix.ics.uci.edu', 6]
['http://asterixdb.ics.uci.edu', 2]
['http://auge.ics.uci.edu', 2]
['http://awareness.ics.uci.edu', 1]
['http://calendar.ics.uci.edu', 1]
['http://cert.ics.uci.edu', 2]
['http://cgvw.ics.uci.edu', 1]
['http://checkmate.ics.uci.edu', 1]
['http://cloudberry.ics.uci.edu', 7]
['http://cml.ics.uci.edu', 4]
['http://cocoa-krispies.ics.uci.edu', 1]
['http://code.ics.uci.edu', 1]
['http://codeexchange.ics.uci.edu', 1]
['http://computableplant.ics.uci.edu', 41]
['http://coronavirustwittermap.ics.uci.edu', 1]
['http://cradl.ics.uci.edu', 11]
['http://cwicsocal18.ics.uci.edu', 3]
['http://duttgroup.ics.uci.edu', 1]
['http://elms.ics.uci.edu', 1]
['http://emj-pc.ics.uci.edu', 1]
['http://esl.ics.uci.edu', 1]
['http://evoke.ics.uci.edu', 2]
['http://flamingo.ics.uci.edu', 7]
['http://fr.ics.uci.edu', 4]
['http://frost.ics.uci.edu', 1]
['http://futurehealth.ics.uci.edu', 3]
['http://givargis.ics.uci.edu', 1]
['http://graphics.ics.uci.edu', 11]
['http://hai.ics.uci.edu', 2]
['http://hana.ics.uci.edu', 2]
['http://hombao.ics.uci.edu', 1]
['http://honors.ics.uci.edu', 1]
['http://http://www.informatics.uci.edu', 1]
['http://i-sensorium.ics.uci.edu', 1]
['http://informatics.ics.uci.edu', 1]
['http://isg.ics.uci.edu', 2]
['http://jigsaw.w3.org/css-validator/validator?uri=http://www.ics.uci.edu', 1]
['http://luci.ics.uci.edu', 3]
['http://map125.ics.uci.edu', 1]
['http://mapgrid.ics.uci.edu', 1]
['http://mhcid.ics.uci.edu', 4]
['http://mondego.ics.uci.edu', 8]
['http://ngs.ics.uci.edu', 17]
['http://nile.ics.uci.edu', 1]
['http://omni.ics.uci.edu', 1]
['http://pasteur.ics.uci.edu', 2]
['http://perennialpolycultures.ics.uci.edu', 1]
['http://plrg.ics.uci.edu', 14]
['http://psearch.ics.uci.edu', 1]
['http://riscit.ics.uci.edu', 1]
['http://satware.ics.uci.edu', 1]
['http://sconce.ics.uci.edu', 3]
['http://sdcl.ics.uci.edu', 205]
['http://se.ics.uci.edu', 1]
['http://seraja.ics.uci.edu', 1]
['http://sli.ics.uci.edu', 1353]
['http://sourcerer.ics.uci.edu', 2]
['http://sprout.ics.uci.edu', 2]
['http://stairs.ics.uci.edu', 1]
['http://tutors.ics.uci.edu', 1]
['http://validator.w3.org/check?uri=http://www.ics.uci.edu', 1]
['http://vision.ics.uci.edu', 7]
['http://wics.ics.uci.edu', 13]
['http://www-db.ics.uci.edu', 20]
['http://www.cert.ics.uci.edu', 1]
['http://www.graphics.ics.uci.edu', 1]
['http://www.ics.uci.edu', 1121]
['http://www.informatics.ics.uci.edu', 1]
['http://www.informatics.uci.edu', 22]
['http://xtune.ics.uci.edu', 6]
['http://yarra.ics.uci.edu', 1]
['https://accessibility.ics.uci.edu', 1]
['https://acoi.ics.uci.edu', 56]
['https://aiclub.ics.uci.edu', 1]
['https://archive-beta.ics.uci.edu', 2]
['https://archive.ics.uci.edu', 1]
['https://asterix.ics.uci.edu', 1]
['https://cbcl.ics.uci.edu', 3]
['https://chenli.ics.uci.edu', 1]
['https://cloudberry.ics.uci.edu', 40]
['https://cml.ics.uci.edu', 170]
['https://code.ics.uci.edu', 11]
['https://computer-science.mt-live.ics.uci.edu', 1]
['https://cradl.ics.uci.edu', 10]
['https://create.ics.uci.edu', 6]
['https://cwicsocal18.ics.uci.edu', 9]
['https://cyberclub.ics.uci.edu', 1]
['https://dgillen.ics.uci.edu', 19]
['https://duttgroup.ics.uci.edu', 91]
['https://emj.ics.uci.edu', 47]
['https://evoke.ics.uci.edu', 18961]
['https://futurehealth.ics.uci.edu', 2]
['https://grape.ics.uci.edu', 13]
['https://hack.ics.uci.edu', 1]
['https://hai.ics.uci.edu', 1]
['https://helpdesk.ics.uci.edu', 1]
['https://iasl.ics.uci.edu', 6]
['https://industryshowcase.ics.uci.edu', 20]
['https://informatics.mt-live.ics.uci.edu', 1]
['https://intranet.ics.uci.edu', 1]
['https://ipf.ics.uci.edu', 2]
['https://isg.ics.uci.edu', 133]
['https://jgarcia.ics.uci.edu', 12]
['https://luci.ics.uci.edu', 3]
['https://mailman.ics.uci.edu', 3]
['https://malek.ics.uci.edu', 1]
['https://mcs.ics.uci.edu', 31]
['https://mdogucu.ics.uci.edu', 1]
['https://mds.ics.uci.edu', 13]
['https://mhcid.ics.uci.edu', 10]
['https://mse.ics.uci.edu', 2]
['https://mswe.ics.uci.edu', 16]
['https://mt-live.ics.uci.edu', 8300]
['https://nalini.ics.uci.edu', 7]
['https://ngs.ics.uci.edu', 2014]
['https://redmiles.ics.uci.edu', 4]
['https://sdcl.ics.uci.edu', 1]
['https://seal.ics.uci.edu', 1]
['https://sli.ics.uci.edu', 146]
['https://statconsulting.ics.uci.edu', 5]
['https://statistics.mt-live.ics.uci.edu', 1]
['https://student-council.ics.uci.edu', 2]
['https://studentcouncil.ics.uci.edu', 4]
['https://support.ics.uci.edu', 2]
['https://swiki.ics.uci.edu', 1]
['https://tad.ics.uci.edu', 1]
['https://tippers.ics.uci.edu', 1]
['https://tippersweb.ics.uci.edu', 5]
['https://transformativeplay.ics.uci.edu', 59]
['https://ugradforms.ics.uci.edu', 1]
['https://unite.ics.uci.edu', 10]
['https://wearablegames.ics.uci.edu', 12]
['https://wics.ics.uci.edu', 2747]
['https://www.informatics.uci.edu', 995]
